lei,scope,refPeriod,bank_name,country,institution_type,trea_eur,lr_exposure_eur,rwa_density,ov1_total_eur,ov1_abweichung,ov1_teile_summe,ov1_teile_stimmt,anteil_kredit,anteil_ccr,anteil_markt,anteil_operationell,kredit_sa_anteil,kredit_irb_anteil,ansatz,skalenverdacht,plausibel
21380033CFFM2V1ZCK65,CON,2025-12-31,SPARKASSE (HOLDINGS) MALTA LIMITED,Malta,Other highest EEA,185105768.9,991075107.91,0.1868,185105768.9,0.0,185105768.89,true,0.729,0.014,0.0,0.2429,1.0,,SA,unbekannt,true
2138004FIUXU3B2MR537,CON,2025-06-30,"Caixa Económica Montepio Geral, Caixa Económica Bancária, S.A.",Portugal,Large highest EEA,8087545893.37,19598794456.78,0.4127,8115626084.05,0.003472,8115626084.05,true,0.8621,,0.0027,0.1091,0.9842,,SA,false,true
2138004FIUXU3B2MR537,CON,2025-09-30,"Caixa Económica Montepio Geral, Caixa Económica Bancária, S.A.",Portugal,Large highest EEA,8105289514.15,19719584405.88,0.411,8133257053.15,0.003451,8133257053.15,true,0.8577,0.0039,0.0042,0.1089,0.9849,,SA,false,true
2138004FIUXU3B2MR537,CON,2026-03-31,"Caixa Económica Montepio Geral, Caixa Económica Bancária, S.A.",Portugal,Large highest EEA,8590754083.51,20319745833.04,0.4228,8619080154.77,0.003297,8619080154.77,true,0.8674,0.0055,0.0022,0.102,0.989,,SA,false,true
21380057HUGFEAF25W84,CON,2025-06-30,NOBA Group,Sweden,Other highest EEA,100878171066.57,161172191359.0,0.6259,,,,,,,,,,,unbekannt,false,true
21380057HUGFEAF25W84,CON,2025-12-31,NOBA Group,Sweden,Other highest EEA,9632510836.59,14956213574.45,0.644,9632510836.59,0.0,9632510836.59,true,0.9113,0.0015,,0.0791,1.0,,SA,false,true
2138005M92IEIQVEL297,CON,2025-06-30,AS Inbank,Estonia,Other highest EEA,956951171.58,1463694679.26,0.6538,,,,,,,,,,,unbekannt,false,true
2138005M92IEIQVEL297,CON,2025-12-31,AS Inbank,Estonia,Other highest EEA,1045267228.61,1545667996.16,0.6763,1045267228.61,0.0,1045267228.61,true,0.9333,0.0004,,0.061,1.0,,SA,false,true
2138005MGIT3X9ZTMP37,IND,2025-12-31,Rønde Sparekasse,Denmark,Other highest EEA,53335645.54,198315229.16,0.2689,53335645.54,0.0,53335645.54,true,0.7353,,0.094,0.1707,1.0,,SA,unbekannt,true
2138007F5HA5FFJROB80,CON,2025-12-31,"Akciju sabiedrība ""Rietumu Banka""",Latvia,Other highest EEA,1235059000.0,1428164000.0,0.8648,1235059000.0,0.0,1235059000.0,true,0.9236,0.0006,0.0107,0.0651,1.0,,SA,unbekannt,true
