lei,scope,refPeriod,bank_name,country,institution_type,kredite_eur,npe_eur,npl_quote,forborne_performing_eur,vorstufe_quote,forborne_non_performing_eur,npf_quote,vorstufe_verhaeltnis,wb_npe_eur,wb_vorzeichen,deckungsquote,npl_unter_median,fruehwarnung
529900I1UZV70CZRAU55,CON,2025-12-31,Raiffeisenbank Austria d.d.,Croatia,Large subsidiaries,4417567404.06,129034774.79,0.029209,22549454.19,0.005104,28016125.65,0.006342,0.1748,-75198703.51,negativ,0.582779,nein,nein
529900IRBZTADXJB6757,CON,2025-12-31,flatexDEGIRO AG,Germany,Other highest EEA,1422861775.14,16018934.47,0.011258,531203.58,0.000373,2993983.45,0.002104,0.0332,-9160999.07,negativ,0.571886,ja,nein
529900J35NSHS856UA68,CON,2025-12-31,Sparekassen Kronjylland,Denmark,Other highest EEA,3815076995.58,130383594.54,0.034176,3080872.62,0.000808,34408710.45,0.009019,0.0236,-47973849.90,negativ,0.367944,nein,nein
529900JCAE554QUYE140,IND,2025-12-31,Sparkasse Westmünsterland,Germany,Other highest EEA,8808476201.14,135604043.91,0.015395,7861383.73,0.000892,14840648.86,0.001685,0.0580,-41769986.59,negativ,0.308029,ja,nein
529900JG015JC10LED24,CON,2025-12-31,AS LHV Group,Estonia,Large highest EEA,5520625539.06,89361905.60,0.016187,57176136.38,0.010357,56681346.45,0.010267,0.6398,-23164674.27,negativ,0.259223,ja,nein
529900JRKG8AEYL65326,IND,2025-12-31,VR Bank Heilbronn Schwäbisch Hall eG,Germany,Other highest EEA,3745820541.78,60419428.73,0.016130,5155876.08,0.001376,4836983.85,0.001291,0.0853,-15717725.38,negativ,0.260144,ja,nein
529900JZTYE3W7WQH904,CON,2025-12-31,HASPA Finanzholding,Germany,Large highest EEA,39575020956.17,879303296.98,0.022219,308816332.40,0.007803,377726226.70,0.009545,0.3512,-227534986.26,negativ,0.258767,ja,nein
529900JZXXU699FCKK89,IND,2025-12-31,Bausparkasse Schwäbisch Hall Aktiengesellschaft - Bausparkasse der Volksbanken und Raiffeisenbanken,Germany,Large subsidiaries,68935323134.06,691917091.06,0.010037,340266693.95,0.004936,311949180.24,0.004525,0.4918,-83461287.48,negativ,0.120623,ja,nein
529900K16YGKC8BES892,IND,2025-12-31,Deutsche Kreditbank Aktiengesellschaft,Germany,Large subsidiaries,113546445356.77,743696867.01,0.006550,256638307.93,0.002260,152498951.78,0.001343,0.3451,-242831805.15,negativ,0.326520,ja,nein
529900KRVTRP5RWP9K95,CON,2025-12-31,Santander Consumer Holding GmbH,Germany,Large subsidiaries,44612645458.86,1350220000.00,0.030265,221920140.66,0.004974,230650533.33,0.005170,0.1644,-780342251.50,negativ,0.577937,nein,nein
529900L89TGSPV9OU151,CON,2025-12-31,Porsche Bank Aktiengesellschaft,Austria,Other highest EEA,6978548506.48,79541171.23,0.011398,7863700.49,0.001127,3408070.68,0.000488,0.0989,35513969.05,positiv,0.446485,ja,nein
529900LIZVBUANJ20E31,IND,2025-12-31,BBBank eG,Germany,Other highest EEA,13406806343.10,107147699.37,0.007992,5491620.50,0.000410,5635512.55,0.000420,0.0513,-27332394.58,negativ,0.255091,ja,nein
529900LKIMB57HKF3545,CON,2025-12-31,Bank of China (Europe) S.A,Luxembourg,Other highest EEA,7916222725.31,33668810.50,0.004253,,,9990000.00,0.001262,,-25204062.12,negativ,0.748588,ja,nein
529900LU7D396TOO3B50,CON,2025-12-31,Raiffeisenverband Salzburg eGen,Austria,Other highest EEA,6290.68,187.19,0.029757,175.00,0.027819,107.60,0.017105,0.9349,-76.72,negativ,0.409851,nein,nein
529900MQJIQGD8N3YV53,CON,2025-12-31,Hannoversche Volksbank eG,Germany,Other highest EEA,7473705040.00,209677442.89,0.028055,831660.80,0.000111,9171198.90,0.001227,0.0040,-77873605.29,negativ,0.371397,nein,nein
529900NJYUGRO908KV84,CON,2025-12-31,ALLIANZ BULGARIA HOLDING,Bulgaria,Other highest EEA,1478.17,54.20,0.036666,1.02,0.000692,17.90,0.012107,0.0189,-44.48,negativ,0.820755,nein,nein
529900NNQW9IAE32GQ07,CON,2025-12-31,GRAWE-Vermögensverwaltung,Austria,Other highest EEA,5419152189.54,208677757.11,0.038507,89049178.96,0.016432,122705800.11,0.022643,0.4267,-61908754.70,negativ,0.296672,nein,nein
529900ODI3047E2LIV03,CON,2025-12-31,Nordea Bank Abp,Finland,Large highest EEA,355636246018.16,3614010304.97,0.010162,2020959395.24,0.005683,1328790496.75,0.003736,0.5592,-1042537713.25,negativ,0.288471,ja,nein
529900OKPZTTS50FXP26,IND,2025-12-31,Advanzia Bank S.A.,Luxembourg,Other highest EEA,4000804567.71,417907786.62,0.104456,298473.44,0.000075,,,0.0007,-277441215.67,negativ,0.663881,nein,nein
529900OLW8QPFMTBDC23,IND,2025-12-31,Neue Bank AG,Liechtenstein,Other highest EEA,977470711.20,24806764.80,0.025379,440217.00,0.000450,0.00,0.000000,0.0177,11811773.70,positiv,0.476151,nein,nein
529900P8BY9HZTZ82T70,IND,2025-12-31,Volksbank Kraichgau eG,Germany,Other highest EEA,8403338588.68,304335510.26,0.036216,15662674.57,0.001864,22534594.05,0.002682,0.0515,-118300511.77,negativ,0.388717,nein,nein
529900PR2ELW8QI1B775,IND,2025-12-31,DLR Kredit A/S,Denmark,Large highest EEA,27871.08,123.71,0.004439,0.52,0.000019,6.92,0.000248,0.0042,34.14,positiv,0.275974,ja,nein
529900PUK9IU39VCWK54,IND,2025-12-31,Volksbank in Ostwestfalen eG,Germany,Other highest EEA,7852641568.00,226095814.57,0.028792,3295021.55,0.000420,32292049.51,0.004112,0.0146,-106078301.59,negativ,0.469174,nein,nein
529900Q2C3I7VCILLG45,CON,2025-12-31,FIMBank plc,Malta,Other highest EEA,529399594.00,9998150.00,0.018886,1046155.00,0.001976,8281438.00,0.015643,0.1046,-8151586.00,negativ,0.815309,ja,nein
529900QYEJ2GYSWK1F08,CON,2025-12-31,RLB-Stmk Verbund eGen,Austria,Other highest EEA,9872158772.97,527320764.45,0.053415,195859951.93,0.019840,302060583.07,0.030597,0.3714,-183603476.04,negativ,0.348182,nein,nein
529900RCLERIIXF4QM23,IND,2025-12-31,bank99 AG,Austria,Other highest EEA,2199.98,30.61,0.013914,12.51,0.005686,8.47,0.003850,0.4087,-18.44,negativ,0.602418,ja,nein
529900RPGHC6DQEQL615,IND,2025-12-31,International Asset Bank AD,Bulgaria,Other highest EEA,566240.21,9879.85,0.017448,3783.62,0.006682,5118.11,0.009039,0.3830,-5961.76,negativ,0.603426,ja,nein
529900RWC8ZYB066JF16,CON,2025-12-31,Bank of Valletta Plc,Malta,Large highest EEA,8175.15,141.79,0.017344,188.94,0.023112,66.22,0.008100,1.3325,-60.54,negativ,0.426969,ja,nein
529900S1KHKOEQL5CK20,IND,2025-12-31,Wüstenrot Bausparkasse Aktiengesellschaft,Germany,Large highest EEA,31870939823.73,580334422.49,0.018209,22386784.45,0.000702,47600308.48,0.001494,0.0386,-122532995.17,negativ,0.211142,ja,nein
529900SS7ZWCX82U3W60,IND,2025-12-31,DEUTSCHE BANK S.P.A.,Italy,Large subsidiaries,23998984263.00,1037388563.00,0.043226,254198492.00,0.010592,202196321.00,0.008425,0.2450,-507114937.00,negativ,0.488838,nein,nein
529900SSGT49ZZSWYE62,CON,2025-12-31,Volkswagen Financial Services AG,Germany,Large highest EEA,128133677764.43,3598941207.99,0.028087,204375555.28,0.001595,139981008.33,0.001092,0.0568,-1137410732.15,negativ,0.316040,nein,nein
529900SXEWPJ1MRRX537,CON,2025-12-31,Raiffeisen-Holding Niederösterreich-Wien registrierte Genossenschaft mit beschränkter Haftung,Austria,Large highest EEA,17836.61,616.96,0.034590,436.44,0.024469,267.57,0.015001,0.7074,-234.62,negativ,0.380284,nein,nein
529900T7MYZUMMW4O176,CON,2025-12-31,Berliner Volksbank eG,Germany,Other highest EEA,14727200827.14,311611127.36,0.021159,11852497.51,0.000805,63212568.26,0.004292,0.0380,-107127400.40,negativ,0.343786,ja,nein
529900U5XAEYOT68AC40,IND,2025-12-31,EFG Bank (Luxembourg) S.A.,Luxembourg,,1566431694.70,15861352.81,0.010126,,,,,,-751691.37,negativ,0.047391,ja,nein
529900UHDH7QLRMEJQ86,CON,2025-12-31,Sigma Bank AG,Liechtenstein,Other highest EEA,823725358.37,311474774.52,0.378129,2523195.00,0.003063,311474774.52,0.378129,0.0081,-102441280.59,negativ,0.328891,nein,nein
529900UIRB65OY6U4B21,IND,2025-12-31,Lombard Bank Malta plc,Malta,Other highest EEA,978450460.04,46020930.85,0.047035,16494341.40,0.016858,38169778.87,0.039010,0.3584,-5923906.05,negativ,0.128722,nein,nein
529900UKZBMDBDZIXD62,CON,2025-12-31,Addiko Bank AG,Austria,Other highest EEA,3903.60,121.26,0.031064,26.88,0.006886,27.27,0.006986,0.2217,-99.45,negativ,0.820139,nein,nein
529900VS0F7BA91P4I60,IND,2025-12-31,Alpha Bank Cyprus Limited,Cyprus,Large subsidiaries,3736917480.00,17920309.00,0.004795,40003882.00,0.010705,4535369.00,0.001214,2.2323,-3571512.00,negativ,0.199300,ja,ja
529900VVDOKMRRAHZ894,IND,2025-12-31,Bank GPB International S.A.,Luxembourg,Other highest EEA,227971312.88,96047107.34,0.421312,84957561.90,0.372668,40683466.57,0.178459,0.8845,27896515.11,positiv,0.290446,nein,nein
529900W3MOO00A18X956,CON,2025-12-31,OTP-csoport,Hungary,Large highest EEA,76979999574.58,2505338993.50,0.032545,467707915.25,0.006076,790879575.91,0.010274,0.1867,-1567753972.55,negativ,0.625765,nein,nein
529900XB6RQ3XCELQO62,IND,2025-12-31,BENDURA BANK AG,Liechtenstein,Other highest EEA,522945292.52,57470895.51,0.109898,0.00,0.000000,0.00,0.000000,0.0000,-2765914.22,negativ,0.048127,nein,nein
529900XDLJV1P7HBAH18,IND,2025-12-31,Sparkasse Holstein,Germany,Other highest EEA,7949950177.84,100932123.64,0.012696,508896.88,0.000064,13323250.48,0.001676,0.0050,-39124673.41,negativ,0.387634,ja,nein
529900XSTAE561178282,CON,2025-12-31,Raiffeisenbankengruppe OÖ Verbund eGen,Austria,Large highest EEA,27850926208.66,1555027176.82,0.055834,970568113.38,0.034849,1068345686.15,0.038359,0.6241,-465935563.26,negativ,0.299632,nein,nein
529900ZMDTSQYEYCKL45,IND,2025-12-31,VR TeilhaberBank Metropolregion Nürnberg eG,Germany,Other highest EEA,4202540866.13,36407845.92,0.008663,1859146.07,0.000442,6429373.53,0.001530,0.0511,-10632300.11,negativ,0.292033,ja,nein
529900ZVK4VTIS0TOT43,IND,2025-12-31,DenizBank AG,Austria,Other highest EEA,5253784770.23,22745317.02,0.004329,42550012.22,0.008099,22618842.84,0.004305,1.8707,-22716917.69,negativ,0.998751,ja,nein
5493000LKS7B3UTF7H35,CON,2025-12-31,Bank Polska Kasa Opieki S.A.,Poland,Large highest EEA,46544589592.59,2139581250.85,0.045968,232277093.70,0.004990,449867621.94,0.009665,0.1086,-1213784032.78,negativ,0.567300,nein,nein
5493000LM0MZ4JPMGM90,CON,2025-12-31,"Santander Consumer Finance, S.A.",Spain,Large subsidiaries,130555000000.00,3845000000.00,0.029451,411752000.00,0.003154,428506000.00,0.003282,0.1071,-2163000000.00,negativ,0.562549,nein,nein
5493001U1K6M7JOL5W45,CON,2025-12-31,Raiffeisen Bank csoport,Hungary,Large subsidiaries,6274195310.17,80489995.54,0.012829,38740755.87,0.006175,46035942.45,0.007337,0.4813,-33033850.52,negativ,0.410409,ja,nein
5493002DPKDEC2JN1Y86,CON,2025-12-31,Sparekassen Sjælland-Fyn A/S,Denmark,Other highest EEA,2145706182.34,88404641.10,0.041201,,,,,,-34293273.82,negativ,0.387913,nein,nein
5493003RJ3TPV33W0108,IND,2025-12-31,Union Bancaire Privée (Europe) S.A.,Luxembourg,Other highest EEA,2085163271.42,9347700.81,0.004483,,,,,,-1142055.77,negativ,0.122175,ja,nein
5493004D82XDFVPWQJ91,IND,2025-12-31,Ikano Bank AB (publ),Sweden,Other highest EEA,3470832180.14,117770815.58,0.033932,24230641.28,0.006981,17511417.77,0.005045,0.2057,71554264.33,positiv,0.607572,nein,nein
5493004WUGGU2BQI7F14,CON,2025-12-31,Landshypotek AB - gruppen,Sweden,Other highest EEA,10921530730.01,85130765.50,0.007795,36765334.39,0.003366,9916528.10,0.000908,0.4319,-2356757.37,negativ,0.027684,ja,nein
54930060Q00W1SRIUI57,IND,2025-12-31,vdk bank,Belgium,Other highest EEA,4319831225.29,24024615.31,0.005561,21192964.57,0.004906,4798481.80,0.001111,0.8821,-3086094.45,negativ,0.128456,ja,nein
5493006QMFDDMYWIAM13,CON,2025-12-31,"Banco Santander, S.A.",Spain,Large highest EEA,1109009000000.00,36348000000.00,0.032775,10566000000.00,0.009527,14322000000.00,0.012914,0.2907,-14234000000.00,negativ,0.391603,nein,nein
5493007BWYDPQZLZ0Y27,CON,2025-12-31,HYPO NOE Landesbank für Niederösterreich und Wien AG,Austria,Other highest EEA,13499171000.00,418990000.00,0.031038,229428000.00,0.016996,242082000.00,0.017933,0.5476,-91076000.00,negativ,0.217370,nein,nein
5493007QRSX9DS2CM858,IND,2025-12-31,China Construction Bank (Europe) S.A.,Luxembourg,Other highest EEA,2090053145.18,0.00,0.000000,6654623.46,0.003184,0.00,0.000000,,0.00,null,,ja,nein
5493007S4JE930SIUE86,CON,2025-12-31,ING Holding Deutschland GmbH,Germany,Large subsidiaries,158796565068.16,2199581318.38,0.013852,1465543305.91,0.009229,1017711067.29,0.006409,0.6663,-624577193.13,negativ,0.283953,ja,nein
5493007SWCCN9S3J2748,CON,2025-12-31,Bigbank AS,Estonia,Large highest EEA,2787855853.65,116736555.72,0.041873,18253031.16,0.006547,37936919.48,0.013608,0.1564,-37068576.63,negativ,0.317540,nein,nein
5493008QRHH0XCLJ4238,CON,2025-12-31,BRD-Groupe Société Générale SA,Romania,Large subsidiaries,13212677804.82,377485145.97,0.028570,19704871.61,0.001491,55054995.10,0.004167,0.0522,-234713822.79,negativ,0.621783,nein,nein
5493009EIBTCB1X12G89,CON,2025-12-31,LGT Group Foundation,Liechtenstein,Large highest EEA,38026765094.00,47254495.64,0.001243,886876.20,0.000023,99892.57,0.000003,0.0188,-20883473.20,negativ,0.441936,ja,nein
5493009ML6YX83YHC820,CON,2025-12-31,Argenta Bank- en Verzekeringsgroep NV,Belgium,Large subsidiaries,44898555321.53,168652558.90,0.003756,77272724.60,0.001721,42618940.06,0.000949,0.4582,-27031323.93,negativ,0.160278,ja,nein
5493009VJC01E4H6HH77,CON,2025-12-31,Avanza - Grupp,Sweden,Other highest EEA,2545963724.55,4118969.77,0.001618,,,,,,-484142.92,negativ,0.117540,ja,nein
5493009W2E2YDCXY6S81,CON,2025-12-31,"NOVO BANCO, S.A.",Portugal,Large subsidiaries,30207207413.19,809996889.33,0.026815,413731635.73,0.013696,303350334.61,0.010042,0.5108,-471930253.47,negativ,0.582632,nein,nein
549300A2F46GR0UOM390,CON,2025-12-31,Erste&Steiermärkische Bank d.d.,Croatia,Large subsidiaries,11107500596.92,299144579.84,0.026932,53851045.35,0.004848,84580399.68,0.007615,0.1800,-185492176.98,negativ,0.620075,nein,nein
549300C6TUMDXNOVXS82,CON,2025-12-31,Länsförsäkringar Bank AB - gruppen,Sweden,Large highest EEA,39921119315.24,113620136.67,0.002846,203929760.32,0.005108,6919865.31,0.000173,1.7948,-25758085.50,negativ,0.226704,ja,nein
549300CQ9NLEHMRCU505,IND,2025-12-31,"Cecabank, S.A.",Spain,Other highest EEA,5634336000.00,213000.00,0.000038,,,185000.00,0.000033,,-43000.00,negativ,0.201878,ja,nein
549300D7SF4JSQDV7040,IND,2025-12-31,Mirabaud & Cie (Europe) S.A.,Luxembourg,Other highest EEA,117072899.67,670572.58,0.005728,,,,,,-74859.69,negativ,0.111635,ja,nein
549300DVPJYGNF2P7B03,CON,2025-12-31,Steiermärkische Bank und Sparkassen Aktiengesellschaft,Austria,Large subsidiaries,18315701540.21,666422538.99,0.036385,427530461.01,0.023342,371432620.11,0.020279,0.6415,-291551988.87,negativ,0.437488,nein,nein
549300DYPOFMXOR7XM56,CON,2025-12-31,Crelan,Belgium,Large highest EEA,51523855627.48,599133533.80,0.011628,357862080.38,0.006946,160177744.82,0.003109,0.5973,-134628426.97,negativ,0.224705,ja,nein
549300EHNXQVOI120S55,CON,2025-12-31,Coop Pank AS,Estonia,Large highest EEA,2153876670.70,14018610.70,0.006509,18765876.95,0.008713,4222136.93,0.001960,1.3386,-5369995.24,negativ,0.383062,ja,nein
549300F7FBD744MEP844,IND,2025-12-31,Banque Raiffeisen,Luxembourg,Other highest EEA,8662899392.24,372773866.24,0.043031,104241364.79,0.012033,132165369.95,0.015256,0.2796,-85089798.57,negativ,0.228261,nein,nein
549300G3C8M0WXQCWH61,CON,2025-12-31,Caja Laboral Popular Coop. de Crédito,Spain,Other highest EEA,16591021513.00,359652762.00,0.021678,25699478.00,0.001549,131131810.00,0.007904,0.0715,-142681036.00,negativ,0.396719,ja,nein
549300HFEHJOXGE4ZE63,CON,2025-12-31,SFIL S.A.,France,Large highest EEA,58660483334.00,66441423.00,0.001133,486265786.00,0.008289,43898661.00,0.000748,7.3187,-3441889.00,negativ,0.051803,ja,nein
549300HUKIA1IZQHFZ83,IND,2025-12-31,Erste Bank der oesterreichischen Sparkassen AG,Austria,Large subsidiaries,40515.49,772.09,0.019057,379.66,0.009371,370.20,0.009137,0.4917,-251.14,negativ,0.325280,ja,nein
549300IQZVZ949N37S44,CON,2025-12-31,Euroclear Holding,Belgium,Large highest EEA,44649134173.00,23698106.00,0.000531,,,16004785.00,0.000358,,-19306896.00,negativ,0.814702,ja,nein
549300IRGNL8Q3O8Y413,IND,2025-12-31,Eurobank Bulgaria,Bulgaria,Large subsidiaries,18404994000.00,406683000.00,0.022096,290000000.00,0.015757,150972000.00,0.008203,0.7131,-235920000.00,negativ,0.580108,nein,nein
549300J0GSZ83GTKBZ89,CON,2025-12-31,OTP banka d.d.,Slovenia,Large subsidiaries,8292688000.00,251172000.00,0.030288,29452000.00,0.003552,115881000.00,0.013974,0.1173,-116898000.00,negativ,0.465410,nein,nein
549300JB1P61FUTPEZ75,CON,2025-12-31,"Všeobecná úverová banka, a.s.",Slovakia,Large subsidiaries,20816069549.00,442917321.00,0.021278,160120271.00,0.007692,146729540.00,0.007049,0.3615,-233616333.00,negativ,0.527449,ja,nein
549300JECLPX13NZLU57,CON,2025-12-31,Danske Andelskassers Bank A/S,Denmark,Other highest EEA,1240966081.64,58405226.38,0.047064,2943358.91,0.002372,11402412.76,0.009188,0.0504,-27716357.69,negativ,0.474553,nein,nein
549300JSC82O1L4XV837,CON,2025-12-31,Nordnet - Grupp,Sweden,Other highest EEA,2758992960.00,11736070.00,0.004254,0.00,0.000000,0.00,0.000000,0.0000,11780468.48,positiv,1.003783,ja,nein
549300KOORG6SN9LMO68,IND,2025-12-31,IIG Bank (Malta) Ltd,Malta,Other highest EEA,59442502.70,2511698.84,0.042254,,,,,,-719186.38,negativ,0.286335,nein,nein
549300L1IEXJYJ2NUV45,IND,2025-12-31,Sparekassen Danmark,Denmark,Other highest EEA,5772643213.29,706729498.95,0.122427,17788562.25,0.003082,69030487.62,0.011958,0.0252,-136297014.91,negativ,0.192856,nein,nein
549300L7YCATGO57ZE10,CON,2025-12-31,FINECOBANK BANCA FINECO S.P.A. (IN BREVE FINECOBANK S.P.A. OVVERO BANCA FINECO S.P.A. OVVERO FINECO BANCA S.P.A.),Italy,Large highest EEA,6504412383.00,28163449.00,0.004330,2670845.00,0.000411,1629319.00,0.000250,0.0948,-23923926.00,negativ,0.849467,ja,nein
549300LYFYVPUCG6SY25,CON,2025-12-31,"Banco Cooperativo Español, S.A.",Spain,Other highest EEA,3550788496.00,5418212.00,0.001526,6647.00,0.000002,2111979.00,0.000595,0.0012,-1943249.00,negativ,0.358651,ja,nein
549300M2IHOB9P5WE714,IND,2025-12-31,Swissquote Bank Europe S.A,Luxembourg,Other highest EEA,464045148.23,991534.75,0.002137,,,,,,-991534.75,negativ,1.000000,ja,nein
549300MM2G2LFEPR2M50,IND,2025-12-31,Skandiabanken Aktiebolag (publ),Sweden,Other highest EEA,10864066537.71,51873734.12,0.004775,5615335.63,0.000517,28550305.36,0.002628,0.1083,2373057.61,positiv,0.045747,ja,nein
549300ND1MQ8SNNYMJ22,CON,2025-12-31,AS SEB Pank,Estonia,Large subsidiaries,7838498321.72,24939549.41,0.003182,64880912.09,0.008277,14693153.92,0.001874,2.6015,-6569672.86,negativ,0.263424,ja,nein
549300NYKK9MWM7GGW15,CON,2025-12-31,ING Groep N.V.,Netherlands,Large highest EEA,827400000000.00,12767000000.00,0.015430,7854000000.00,0.009492,5771000000.00,0.006975,0.6152,-4404000000.00,negativ,0.344952,ja,nein
549300O2UN9JLME31F08,IND,2025-12-31,UniCredit Banka Slovenija d.d.,Slovenia,Large subsidiaries,2436968.00,126144.00,0.051763,22382.00,0.009184,15927.00,0.006536,0.1774,-51716.00,negativ,0.409976,nein,nein
549300O3HXYXXUHR0897,CON,2025-12-31,Klarna - Grupp,Sweden,Other highest EEA,10404112015.52,253243993.22,0.024341,,,61753822.97,0.005936,,-174198486.46,negativ,0.687868,nein,nein
549300OL514RA0SXJJ44,IND,2025-12-31,Clearstream Banking S.A.,Luxembourg,Large subsidiaries,10344988732.97,574293.67,0.000056,,,,,,-293729.66,negativ,0.511462,ja,nein
549300OLBL49CW8CT155,CON,2025-12-31,"Ibercaja Banco, S.A.",Spain,Large highest EEA,31162480000.00,449719000.00,0.014431,72824000.00,0.002337,183276000.00,0.005881,0.1619,-237366000.00,negativ,0.527810,ja,nein
549300OMTXWX1144LP69,IND,2025-12-31,"Akciju sabiedrība ""Reģionālā investīciju banka""",Latvia,Other highest EEA,209616850.00,10346961.00,0.049361,,,8800000.00,0.041981,,-697597.00,negativ,0.067420,nein,nein
549300PZMFIQR79Q0T97,CON,2025-12-31,Íslandsbanki hf.,Iceland,Large highest EEA,9828945980.00,138699330.00,0.014111,189203350.00,0.019250,56934150.00,0.005792,1.3641,-25116210.00,negativ,0.181084,ja,nein
549300Q3OIWRHQUQM052,CON,2025-12-31,SpareBank 1 Sør-Norge,Norway,Large highest EEA,37550395814.19,265864979.16,0.007080,236880787.29,0.006308,96189328.82,0.002562,0.8910,265864979.16,positiv,1.000000,ja,nein
549300RFKNCOX56F8591,CON,2025-12-31,RAIFFEISEN BANK S.A.,Romania,Large subsidiaries,10266826.59,253246.52,0.024666,47146.08,0.004592,67106.48,0.006536,0.1862,-154103.52,negativ,0.608512,nein,nein
549300RMML7KXP6M1Y98,IND,2025-12-31,BANCO BAI EUROPA S.A.,Portugal,Other highest EEA,493713176.05,6046658.70,0.012247,0.00,0.000000,5518489.19,0.011178,0.0000,-1241382.77,negativ,0.205301,ja,nein
549300S2T3FWVVXWJI89,CON,2025-12-31,"Slovenská sporiteľňa, a.s.",Slovakia,Large subsidiaries,21183818.00,455584.00,0.021506,262642.00,0.012398,144197.00,0.006807,0.5765,-235831.00,negativ,0.517645,ja,nein
549300SBPFE9JX7N8J82,IND,2025-12-31,AB SEB bankas,Lithuania,Large subsidiaries,10986693315.65,40109023.29,0.003651,78407791.70,0.007137,18865654.80,0.001717,1.9549,-14197627.70,negativ,0.353976,ja,nein
549300SXM92LQ05OJQ76,CON,2025-12-31,Sparebank 1 Nord-Norge SPA,Norway,Other highest EEA,1582607591.54,165200745.19,0.104385,184637414.18,0.116667,59467194.76,0.037575,1.1177,-33034521.38,negativ,0.199966,nein,nein
549300TDPXT0OW2AY198,CON,2025-12-31,FinAx,Belgium,Other highest EEA,7223855918.42,51502340.33,0.007129,13112679.74,0.001815,3643532.43,0.000504,0.2546,-20918861.04,negativ,0.406173,ja,nein
549300TEJKOLFN65KR76,IND,2025-12-31,BNF Bank plc,Malta,Other highest EEA,1071898679.49,25412302.87,0.023708,16494341.40,0.015388,38169778.87,0.035610,0.6491,-12089369.36,negativ,0.475729,nein,nein
549300TJREQ7GHIXWR36,IND,2025-12-31,Swedbank Hypotek AB,Sweden,Large subsidiaries,109749073120.00,395145160.00,0.003600,1283112850.00,0.011691,131499430.00,0.001198,3.2472,-52396470.00,negativ,0.132601,ja,ja
549300TK038P6EV4YU51,CON,2025-12-31,AB Artea bankas,Lithuania,Large highest EEA,3780403000.00,105026000.00,0.027782,77168000.00,0.020413,41345000.00,0.010937,0.7348,-21362000.00,negativ,0.203397,nein,nein
549300TL5406IC1XKD09,CON,2025-12-31,Saxo Bank A/S,Denmark,Large highest EEA,4932.69,0.00,0.000000,,,,,,,,,ja,nein
549300TRUWO2CD2G5692,CON,2025-12-31,"UNICREDIT, SOCIETA' PER AZIONI",Italy,Large highest EEA,481682524140.00,12110883560.00,0.025143,5563221921.00,0.011550,4096685775.00,0.008505,0.4594,-5316392252.00,negativ,0.438976,nein,nein
549300TTZTKBUFKWH890,CON,2025-12-31,The Cyprus Development Bank Public Company Ltd,Cyprus,Other highest EEA,192174.95,32091.73,0.166992,18237.08,0.094898,17829.81,0.092779,0.5683,-14154.95,negativ,0.441078,nein,nein
549300U4LIZV0REEQQ46,CON,2025-12-31,"Kutxabank, S.A.",Spain,Large highest EEA,51569916000.00,661048000.00,0.012818,322328000.00,0.006250,280720000.00,0.005443,0.4876,-377721000.00,negativ,0.571397,ja,nein
549300UARE5MHTBUPJ19,CON,2025-12-31,Promontoria 19 Coöperatie U.A.,Netherlands,Large highest EEA,21035085304.00,805966182.66,0.038315,449560875.69,0.021372,258622048.98,0.012295,0.5578,-216238973.12,negativ,0.268298,nein,nein
549300UOX05QGUJJ5707,IND,2025-12-31,Stadshypotek AB,Sweden,Large subsidiaries,145258192316.80,274528501.12,0.001890,105576927.31,0.000727,46302998.13,0.000319,0.3846,-10645520.37,negativ,0.038777,ja,nein
549300URJH9VSI58CS32,CON,2025-12-31,"Banco Santander Totta, SA",Portugal,Large subsidiaries,42041179747.00,802400114.00,0.019086,300697861.00,0.007152,305296620.00,0.007262,0.3747,540569430.00,positiv,0.673691,ja,nein
549300UY81ESCZJ0GR95,CON,2025-12-31,First Investment Bank,Bulgaria,Large highest EEA,5537775257.50,416132242.30,0.075144,424245550.70,0.076609,242727403.80,0.043831,1.0195,-156203683.90,negativ,0.375370,nein,nein
549300V1VN70Q7PQ7234,CON,2025-12-31,CRÉDIT AGRICOLE AUTO BANK S.P.A.,Italy,Large subsidiaries,24984849923.00,827097141.00,0.033104,25075186.00,0.001004,14499752.00,0.000580,0.0303,-314911379.00,negativ,0.380743,nein,nein
549300VRM6G42M8OWN49,CON,2025-12-31,Sparebank 1 Østlandet,Norway,Other highest EEA,20906990302.03,239387344.69,0.011450,116831870.41,0.005588,38860240.50,0.001859,0.4880,-47020454.53,negativ,0.196420,ja,nein
549300X34UUBDEUL1Z91,CON,2025-12-31,HSBC Bank Malta p.l.c.,Malta,Large subsidiaries,2996684000.00,74513000.00,0.024865,12594000.00,0.004203,37169000.00,0.012403,0.1690,-17576000.00,negativ,0.235878,nein,nein
549300XGJX6FOWLOI640,IND,2025-12-31,FIDEURAM - INTESA SANPAOLO PRIVATE BANKING S.P.A.,Italy,Large subsidiaries,21628349949.00,66671860.00,0.003083,70509.00,0.000003,5656225.00,0.000262,0.0011,-31590110.00,negativ,0.473815,ja,nein
549300XWJHRKLHU2PS28,CON,2025-12-31,ERSTE csoport,Hungary,Large subsidiaries,7744232600.00,117517400.00,0.015175,17001400.00,0.002195,36881000.00,0.004762,0.1447,-75868000.00,negativ,0.645590,ja,nein
